,year,month,t2m
233,1998,6,297.14798
234,1998,7,297.19653
235,1998,8,296.61505
236,1998,9,295.01562
237,1998,10,291.87057
238,1998,11,288.4315
239,1998,12,285.27408
240,1999,1,283.9754
241,1999,2,286.8974
242,1999,3,289.23563
243,1999,4,293.09573
244,1999,5,294.8443
245,1999,6,296.43616
246,1999,7,296.9028
247,1999,8,296.29843
248,1999,9,294.7533
249,1999,10,291.40518
250,1999,11,287.70245
251,1999,12,284.46133
252,2000,1,283.71725
253,2000,2,284.6382
254,2000,3,288.58014
255,2000,4,292.67557
256,2000,5,295.50226
257,2000,6,296.38895
258,2000,7,297.12103
259,2000,8,296.22638
260,2000,9,294.32114
261,2000,10,291.2759
262,2000,11,287.3028
263,2000,12,285.0145
264,2001,1,283.87308
265,2001,2,286.10306
266,2001,3,289.28186
267,2001,4,292.48108
268,2001,5,295.30026
269,2001,6,296.5266
270,2001,7,297.08945
271,2001,8,296.4259
272,2001,9,294.65234
273,2001,10,291.75308
274,2001,11,288.07785
275,2001,12,284.40106
276,2002,1,284.30783
277,2002,2,286.48343
278,2002,3,289.61682
279,2002,4,292.80298
280,2002,5,295.07355
281,2002,6,296.853
282,2002,7,297.33508
283,2002,8,296.6336
284,2002,9,294.18405
285,2002,10,291.4739
286,2002,11,287.9386
287,2002,12,284.68036
288,2003,1,284.038
289,2003,2,286.25638
290,2003,3,288.90143
291,2003,4,292.6921
292,2003,5,294.85574
293,2003,6,296.5937
294,2003,7,296.76096
295,2003,8,296.50262
296,2003,9,294.6808
297,2003,10,291.57266
298,2003,11,287.7471
299,2003,12,284.61755
300,2004,1,283.91373
301,2004,2,286.1566
302,2004,3,290.05707
303,2004,4,293.44507
304,2004,5,295.09793
305,2004,6,296.3103
306,2004,7,296.74695
307,2004,8,296.27005
308,2004,9,294.54895
309,2004,10,290.80695
310,2004,11,287.77673
311,2004,12,285.07446
312,2005,1,283.6271
313,2005,2,285.26886
314,2005,3,289.4184
315,2005,4,292.70633
316,2005,5,295.05145
317,2005,6,297.17398
318,2005,7,297.16174
319,2005,8,296.39175
320,2005,9,295.05197
321,2005,10,291.38126
322,2005,11,287.63376
323,2005,12,284.14517
324,2006,1,284.01697
325,2006,2,286.9697
326,2006,3,289.25662
327,2006,4,292.64084
328,2006,5,295.209
329,2006,6,296.65927
330,2006,7,297.3028
331,2006,8,296.70685
332,2006,9,294.56177
333,2006,10,292.20685
334,2006,11,288.2472
335,2006,12,284.73465
336,2007,1,283.9091
337,2007,2,286.71933
338,2007,3,289.1216
339,2007,4,293.10785
340,2007,5,295.64584
341,2007,6,296.8498
342,2007,7,296.95547
343,2007,8,296.684
344,2007,9,294.6544
345,2007,10,291.18146
346,2007,11,287.9957
347,2007,12,284.92313
348,2008,1,282.9542
349,2008,2,284.171
350,2008,3,289.76407
351,2008,4,292.6366
352,2008,5,295.33716
353,2008,6,296.5781
354,2008,7,296.97528
355,2008,8,296.186
356,2008,9,294.5878
357,2008,10,291.73767
358,2008,11,287.91583
359,2008,12,285.2442
360,2009,1,284.31842
361,2009,2,287.0104
362,2009,3,289.63278
363,2009,4,293.24026
364,2009,5,295.06833
365,2009,6,296.81802
366,2009,7,297.1714
367,2009,8,296.56894
368,2009,9,295.01843
369,2009,10,291.85913
370,2009,11,287.33377
371,2009,12,284.8115
372,2010,1,284.6048
373,2010,2,286.3317
374,2010,3,289.9809
375,2010,4,293.06894
376,2010,5,295.69907
377,2010,6,296.92905
378,2010,7,297.46143
379,2010,8,296.77252
380,2010,9,294.77814
381,2010,10,291.7669
382,2010,11,288.15295
383,2010,12,284.56024
384,2011,1,282.43143
385,2011,2,285.99435
386,2011,3,288.26172
387,2011,4,292.47104
388,2011,5,295.2157
389,2011,6,296.78534
390,2011,7,297.06436
391,2011,8,296.63174
392,2011,9,294.59238
393,2011,10,291.66956
394,2011,11,288.327
395,2011,12,284.56882
396,2012,1,282.94547
397,2012,2,285.1112
398,2012,3,288.80728
399,2012,4,292.91977
400,2012,5,295.42047
401,2012,6,296.84448
402,2012,7,297.10388
403,2012,8,296.69907
404,2012,9,294.4744
405,2012,10,291.27814
406,2012,11,287.544
407,2012,12,284.59607
408,2013,1,283.84546
409,2013,2,286.24777
410,2013,3,290.48923
411,2013,4,292.89474
412,2013,5,295.49667
413,2013,6,296.73508
414,2013,7,296.993
415,2013,8,296.66638
416,2013,9,294.67703
417,2013,10,291.81757
418,2013,11,287.54453
419,2013,12,284.4794
420,2014,1,284.13104
421,2014,2,285.03198
422,2014,3,289.313
423,2014,4,292.83267
424,2014,5,295.25357
425,2014,6,297.0561
426,2014,7,297.3721
427,2014,8,296.41666
428,2014,9,294.78995
429,2014,10,291.8895
430,2014,11,287.99512
431,2014,12,284.59067
432,2015,1,284.2617
433,2015,2,286.40903
434,2015,3,289.5809
435,2015,4,292.7552
436,2015,5,295.68506
437,2015,6,296.67014
438,2015,7,297.381
439,2015,8,296.675
440,2015,9,294.83224
441,2015,10,292.23337
442,2015,11,288.82483
443,2015,12,285.38766
444,2016,1,284.29166
445,2016,2,286.3347
446,2016,3,290.44525
447,2016,4,293.9619
448,2016,5,295.6533
449,2016,6,297.23987
450,2016,7,297.41916
451,2016,8,297.04785
452,2016,9,295.22424
453,2016,10,291.88266
454,2016,11,288.1862
455,2016,12,286.29068
456,2017,1,284.56934
457,2017,2,286.6187
458,2017,3,289.1504
459,2017,4,293.1687
460,2017,5,295.73102
461,2017,6,296.87247
462,2017,7,297.57355
463,2017,8,296.78827
464,2017,9,295.3114
465,2017,10,292.10855
466,2017,11,288.186
467,2017,12,285.4337
468,2018,1,283.92233
469,2018,2,286.03055
470,2018,3,290.5602
471,2018,4,293.14322
472,2018,5,295.46805
473,2018,6,297.0891
474,2018,7,297.41885
475,2018,8,296.9324
476,2018,9,294.64566
477,2018,10,291.20633
478,2018,11,287.79016
479,2018,12,284.3622
480,2019,1,283.97845
481,2019,2,285.8693
482,2019,3,289.43567
483,2019,4,293.8133
484,2019,5,295.33704
485,2019,6,297.16644
486,2019,7,297.46948
487,2019,8,297.0523
488,2019,9,295.2384
489,2019,10,291.8078
490,2019,11,288.3566
491,2019,12,284.68582
492,2020,1,284.21594
493,2020,2,286.4478
494,2020,3,289.69977
495,2020,4,292.85782
496,2020,5,295.6717
497,2020,6,296.8505
498,2020,7,297.33176
499,2020,8,297.0024
500,2020,9,295.16183
501,2020,10,273.5639
502,2020,11,273.5639
503,2020,12,273.5639
